Title,Price,Description,Location
"
        4bdrm House in Tesano for Rent
    ","
        GH₵ 66,377
    ","
                            For Bedroom house for rent in tesano 
All rooms ensuite 
Bullet proof doors
Swimming pool 
Kva...
                        ","
            Greater Accra, Tesano
        "
"
        Furnished 1bdrm Apartment in Cantonments for Rent
    ","
        GH₵ 10,000
    ","
                            Executive & luxurious 1 bedroom fully furnished apartment for rent in cantonments... Come gym, pool,...
                        ","
            Greater Accra, Cantonments
        "
"
        2bdrm House in Albert Real Estate, Gomoa East for Rent
    ","
        GH₵ 900
    ","
                            Two bedroom self compound for rent at kasoa adede it has, Pop ceilling,water available, kitchen and...
                        ","
            Central Region, Gomoa East
        "
"
        Furnished 1bdrm Apartment in Seekers Realty, Cantonments for Rent
    ","
        GH₵ 5,436
    ","
                            Chamber and hall fully furnished in a serene environment at cantoment for rent for short or long...
                        ","
            Greater Accra, Cantonments
        "
"
        2bdrm Apartment in Bestchoice Property, Accra Metropolitan for Rent
    ","
        GH₵ 1,200
    ","
                            2Bedroom 1washroom at Achimota Petroleum for rental for one year and  for two years call or contact...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        2bdrm Duplex in Living Large, East Legon for Rent
    ","
        GH₵ 1,500
    ","
                            Executive 2 bedroom apartment house for rent at East legon hills very nice also at every good...
                        ","
            Greater Accra, East Legon
        "
"
        Furnished 1bdrm Apartment in Cantonments for Rent
    ","
        GH₵ 14,500
    ","
                            *Lovely 1 bedroom furnished apartment unit• •Spacious and clean bathrooms with heater. •kitchen,with...
                        ","
            Greater Accra, Cantonments
        "
"
        1bdrm Apartment in Divine Mercy Agency, Awutu Senya East Municipal
    ","
        GH₵ 400
    ","
                            Chamber and hall self contained.
Located at Kasoa New market road.
going for 400gh accept 1yr.
wall...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        7bdrm Duplex in East Legon, Adjiriganor for Rent
    ","
        GH₵ 28,000
    ","
                            An Executive 5 Bedroom Duplex, Boysquarte, security post, tarred road.
                        ","
            Greater Accra, Adjiriganor
        "
"
        3bdrm Apartment in Adjiriganor for Rent
    ","
        GH₵ 4,000
    ","
                            2 bedrooms apartment for rent at east Legon Adjiringanor 4000 gh cedis last
                        ","
            Greater Accra, Adjiriganor
        "
"
        2bdrm Apartment in Atomic Down, Ga East Municipal for Rent
    ","
        GH₵ 1,000
    ","
                            Newly built two bedroom apartment for rent 
1000 ghc a month 
2 washrooms 
water flows
self meter...
                        ","
            Greater Accra, Ga East Municipal
        "
"
        3bdrm House in North Kaneshie for Rent
    ","
        GH₵ 5,689
    ","
                            Three Bedroom apartment at north kaneshie demod 
All rooms ensuite 
P.o.p ceiling 
Porcelain floor...
                        ","
            Greater Accra, Kaneshie
        "
"
        2bdrm Apartment in East Legon for Rent
    ","
        GH₵ 1,700
    ","
                            This is a 2 bedrooms apartment for rent at Ogbojo in east Legon
                        ","
            Greater Accra, East Legon
        "
"
        2bdrm Block of Flats in Nkpa Properties, Tamale Municipal for Rent
    ","
        GH₵ 400
    ","
                            A very nice 2 bedroom apartment with 2 washrooms, kitchen,water
                        ","
            Northern Region, Tamale Municipal
        "
"
        4bdrm Duplex in East Legon for Rent
    ","
        GH₵ 21,000
    ","
                            Exquisite 4 Bedroom Duplex House For RENT at East Legon American House 
Facilities includes
✓...
                        ","
            Greater Accra, East Legon
        "
"
        2bdrm House in O2A Properties, Police Station for Rent
    ","
        GH₵ 7,000
    ","
                            Ref Number... Apr-2205B
Executive 2 bedroom self compound standalone house for rent in east legon.
...
                        ","
            Greater Accra, East Legon
        "
"
        2bdrm Apartment in Fastinas Real Estate, Awutu Senya East Municipal
    ","
        GH₵ 650
    ","
                            Neat 2 bedroom apartment for one year rent in kasoa Adam Nana Ghana flag.
* Nigerians are not...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        Furnished 4bdrm Apartment for Rent
    ","
        GH₵ 1,500
    ","
                            Executive Newly built 4Bedroom apartment 
located at Kasoa Galelia
Wall and gate
self meter
water...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        Furnished 3bdrm Townhouse in Cantonments for Rent
    ","
        GH₵ 280,800
    ","
                            A stupendous 3 master bedroom fully furnished townhouse with an outhouse plus a family area in a...
                        ","
            Greater Accra, Cantonments
        "
"
        4bdrm Townhouse in US Embassy Area for Rent
    ","
        GH₵ 30,000
    ","
                            10 units of 4 bedroom ensuite  townhouses are ready for rent!
 cantonments
fitted kitchen and...
                        ","
            Greater Accra, Cantonments
        "
"
        3bdrm Apartment in Fear Not Estate, Accra Metropolitan for Rent
    ","
        GH₵ 1,700
    ","
                            Executive 3bedroom apartment newly built for rent at taifa Burkina going for 1700gh cedis for 2years...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        4bdrm Bungalow in Tarazzo Junction, Tema Metropolitan for Rent
    ","
        GH₵ 2,500
    ","
                            5 bedrooms self compound with electric fence available for rent
                        ","
            Greater Accra, Tema Metropolitan
        "
"
        1bdrm Apartment in Nkpa Properties, Tamale Municipal for Rent
    ","
        GH₵ 250
    ","
                            1 bedroom apartment for rent at Gbewa residential area
                        ","
            Northern Region, Tamale Municipal
        "
"
        2bdrm Apartment in Divine Mercy Agency, Awutu Senya East Municipal
    ","
        GH₵ 500
    ","
                            Neat 2bedroom apartment
located at kasoa tuba road
going for 500gh accept 1yr rent 
wall and...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        1bdrm Apartment in Divine Mercy Agency, Awutu Senya East Municipal
    ","
        GH₵ 400
    ","
                            Neat chamber and hall self contained. Located at Kasoa tuba road.
going for 400gh accept 1year...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        2bdrm House in Trasacco, Accra Metropolitan for Rent
    ","
        GH₵ 5,330
    ","
                            2 bedroom for-rent
Location-Trasacco
#Price :$650
 for all enquiries Contact DM / Call / Whatsapp :...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        2bdrm Apartment in Dr Roko, Dome for Rent
    ","
        GH₵ 1,301
    ","
                            Virgin 2 bedroom self conitain that comes with an air conditions and modern facilities in acp
                        ","
            Greater Accra, Dome
        "
